run,tag,step,value
K-L1norm/vgg16/Fullayer,ACC,0,94.16000366210938
K-L1norm/vgg16/Fullayer,ACC,10,87.9000015258789
K-L1norm/vgg16/Fullayer,ACC,20,53.95000076293945
K-L1norm/vgg16/Fullayer,ACC,30,33.459999084472656
K-L1norm/vgg16/Fullayer,ACC,40,17.260000228881836
K-L1norm/vgg16/Fullayer,ACC,50,10.789999961853027
K-L1norm/vgg16/Fullayer,MACs(M),0,314.9599914550781
K-L1norm/vgg16/Fullayer,MACs(M),10,255.66000366210938
K-L1norm/vgg16/Fullayer,MACs(M),20,201.92999267578125
K-L1norm/vgg16/Fullayer,MACs(M),30,155.38999938964844
K-L1norm/vgg16/Fullayer,MACs(M),40,114.19999694824219
K-L1norm/vgg16/Fullayer,MACs(M),50,79.76000213623047
K-L1norm/vgg16/Fullayer,Params(M),0,15.25
K-L1norm/vgg16/Fullayer,Params(M),10,12.430000305175781
K-L1norm/vgg16/Fullayer,Params(M),20,9.920000076293945
K-L1norm/vgg16/Fullayer,Params(M),30,7.659999847412109
K-L1norm/vgg16/Fullayer,Params(M),40,5.730000019073486
K-L1norm/vgg16/Fullayer,Params(M),50,4.079999923706055
K-Taylor/vgg16/Fullayer,ACC,0,94.16000366210938
K-Taylor/vgg16/Fullayer,ACC,10,82.41999816894531
K-Taylor/vgg16/Fullayer,ACC,20,58.34000015258789
K-Taylor/vgg16/Fullayer,ACC,30,23.8700008392334
K-Taylor/vgg16/Fullayer,ACC,40,11.600000381469727
K-Taylor/vgg16/Fullayer,ACC,50,10.0
K-Taylor/vgg16/Fullayer,MACs(M),0,314.9599914550781
K-Taylor/vgg16/Fullayer,MACs(M),10,255.66000366210938
K-Taylor/vgg16/Fullayer,MACs(M),20,201.92999267578125
K-Taylor/vgg16/Fullayer,MACs(M),30,155.38999938964844
K-Taylor/vgg16/Fullayer,MACs(M),40,114.19999694824219
K-Taylor/vgg16/Fullayer,MACs(M),50,79.76000213623047
K-Taylor/vgg16/Fullayer,Params(M),0,15.25
K-Taylor/vgg16/Fullayer,Params(M),10,12.430000305175781
K-Taylor/vgg16/Fullayer,Params(M),20,9.920000076293945
K-Taylor/vgg16/Fullayer,Params(M),30,7.659999847412109
K-Taylor/vgg16/Fullayer,Params(M),40,5.730000019073486
K-Taylor/vgg16/Fullayer,Params(M),50,4.079999923706055
L1norm/vgg16/Fullayer,ACC,0,94.16000366210938
L1norm/vgg16/Fullayer,ACC,10,83.97000122070312
L1norm/vgg16/Fullayer,ACC,20,53.47999954223633
L1norm/vgg16/Fullayer,ACC,30,31.3700008392334
L1norm/vgg16/Fullayer,ACC,40,18.1299991607666
L1norm/vgg16/Fullayer,ACC,50,14.229999542236328
L1norm/vgg16/Fullayer,MACs(M),0,314.9599914550781
L1norm/vgg16/Fullayer,MACs(M),10,255.66000366210938
L1norm/vgg16/Fullayer,MACs(M),20,201.92999267578125
L1norm/vgg16/Fullayer,MACs(M),30,155.38999938964844
L1norm/vgg16/Fullayer,MACs(M),40,114.19999694824219
L1norm/vgg16/Fullayer,MACs(M),50,79.76000213623047
L1norm/vgg16/Fullayer,Params(M),0,15.25
L1norm/vgg16/Fullayer,Params(M),10,12.430000305175781
L1norm/vgg16/Fullayer,Params(M),20,9.920000076293945
L1norm/vgg16/Fullayer,Params(M),30,7.659999847412109
L1norm/vgg16/Fullayer,Params(M),40,5.730000019073486
L1norm/vgg16/Fullayer,Params(M),50,4.079999923706055
Taylor/vgg16/Fullayer,ACC,0,94.16000366210938
Taylor/vgg16/Fullayer,ACC,10,83.88999938964844
Taylor/vgg16/Fullayer,ACC,20,62.09000015258789
Taylor/vgg16/Fullayer,ACC,30,27.34000015258789
Taylor/vgg16/Fullayer,ACC,40,12.180000305175781
Taylor/vgg16/Fullayer,ACC,50,10.010000228881836
Taylor/vgg16/Fullayer,MACs(M),0,314.9599914550781
Taylor/vgg16/Fullayer,MACs(M),10,255.66000366210938
Taylor/vgg16/Fullayer,MACs(M),20,201.92999267578125
Taylor/vgg16/Fullayer,MACs(M),30,155.38999938964844
Taylor/vgg16/Fullayer,MACs(M),40,114.19999694824219
Taylor/vgg16/Fullayer,MACs(M),50,79.76000213623047
Taylor/vgg16/Fullayer,Params(M),0,15.25
Taylor/vgg16/Fullayer,Params(M),10,12.430000305175781
Taylor/vgg16/Fullayer,Params(M),20,9.920000076293945
Taylor/vgg16/Fullayer,Params(M),30,7.659999847412109
Taylor/vgg16/Fullayer,Params(M),40,5.730000019073486
Taylor/vgg16/Fullayer,Params(M),50,4.079999923706055
