run,tag,step,value
K-L1norm/vgg16/Fullayer,ACC,0,66.4800033569336
K-L1norm/vgg16/Fullayer,ACC,10,33.07600021362305
K-L1norm/vgg16/Fullayer,ACC,20,3.4100000858306885
K-L1norm/vgg16/Fullayer,ACC,30,0.24199999868869781
K-L1norm/vgg16/Fullayer,ACC,40,0.11999999731779099
K-L1norm/vgg16/Fullayer,ACC,50,0.12200000137090683
K-L1norm/vgg16/Fullayer,MACs(M),0,15530.6201171875
K-L1norm/vgg16/Fullayer,MACs(M),10,12667.919921875
K-L1norm/vgg16/Fullayer,MACs(M),20,10068.4501953125
K-L1norm/vgg16/Fullayer,MACs(M),30,7812.919921875
K-L1norm/vgg16/Fullayer,MACs(M),40,5810.0
K-L1norm/vgg16/Fullayer,MACs(M),50,4128.02001953125
K-L1norm/vgg16/Fullayer,Params(M),0,138.3699951171875
K-L1norm/vgg16/Fullayer,Params(M),10,135.77999877929688
K-L1norm/vgg16/Fullayer,Params(M),20,133.4600067138672
K-L1norm/vgg16/Fullayer,Params(M),30,131.33999633789062
K-L1norm/vgg16/Fullayer,Params(M),40,129.50999450683594
K-L1norm/vgg16/Fullayer,Params(M),50,127.91999816894531
K-Taylor/vgg16/Fullayer,ACC,0,66.4800033569336
K-Taylor/vgg16/Fullayer,ACC,10,32.84199905395508
K-Taylor/vgg16/Fullayer,ACC,20,2.9560000896453857
K-Taylor/vgg16/Fullayer,ACC,30,0.257999986410141
K-Taylor/vgg16/Fullayer,ACC,40,0.15000000596046448
K-Taylor/vgg16/Fullayer,ACC,50,0.12200000137090683
K-Taylor/vgg16/Fullayer,MACs(M),0,15530.6201171875
K-Taylor/vgg16/Fullayer,MACs(M),10,12667.919921875
K-Taylor/vgg16/Fullayer,MACs(M),20,10068.4501953125
K-Taylor/vgg16/Fullayer,MACs(M),30,7812.919921875
K-Taylor/vgg16/Fullayer,MACs(M),40,5810.0
K-Taylor/vgg16/Fullayer,MACs(M),50,4128.02001953125
K-Taylor/vgg16/Fullayer,Params(M),0,138.3699951171875
K-Taylor/vgg16/Fullayer,Params(M),10,135.77999877929688
K-Taylor/vgg16/Fullayer,Params(M),20,133.4600067138672
K-Taylor/vgg16/Fullayer,Params(M),30,131.33999633789062
K-Taylor/vgg16/Fullayer,Params(M),40,129.50999450683594
K-Taylor/vgg16/Fullayer,Params(M),50,127.91999816894531
L1norm/vgg16/Fullayer,ACC,0,66.4800033569336
L1norm/vgg16/Fullayer,ACC,10,28.746000289916992
L1norm/vgg16/Fullayer,ACC,20,3.0880000591278076
L1norm/vgg16/Fullayer,ACC,30,0.41200000047683716
L1norm/vgg16/Fullayer,ACC,40,0.13199999928474426
L1norm/vgg16/Fullayer,ACC,50,0.09200000017881393
L1norm/vgg16/Fullayer,MACs(M),0,15530.6201171875
L1norm/vgg16/Fullayer,MACs(M),10,12667.919921875
L1norm/vgg16/Fullayer,MACs(M),20,10068.4501953125
L1norm/vgg16/Fullayer,MACs(M),30,7812.919921875
L1norm/vgg16/Fullayer,MACs(M),40,5810.0
L1norm/vgg16/Fullayer,MACs(M),50,4128.02001953125
L1norm/vgg16/Fullayer,Params(M),0,138.3699951171875
L1norm/vgg16/Fullayer,Params(M),10,135.77999877929688
L1norm/vgg16/Fullayer,Params(M),20,133.4600067138672
L1norm/vgg16/Fullayer,Params(M),30,131.33999633789062
L1norm/vgg16/Fullayer,Params(M),40,129.50999450683594
L1norm/vgg16/Fullayer,Params(M),50,127.91999816894531
Taylor/vgg16/Fullayer,ACC,0,66.4800033569336
Taylor/vgg16/Fullayer,ACC,10,31.34600067138672
Taylor/vgg16/Fullayer,ACC,20,2.3399999141693115
Taylor/vgg16/Fullayer,ACC,30,0.12399999797344208
Taylor/vgg16/Fullayer,ACC,40,0.09399999678134918
Taylor/vgg16/Fullayer,ACC,50,0.10400000214576721
Taylor/vgg16/Fullayer,MACs(M),0,15530.6201171875
Taylor/vgg16/Fullayer,MACs(M),10,12667.919921875
Taylor/vgg16/Fullayer,MACs(M),20,10068.4501953125
Taylor/vgg16/Fullayer,MACs(M),30,7812.919921875
Taylor/vgg16/Fullayer,MACs(M),40,5810.0
Taylor/vgg16/Fullayer,MACs(M),50,4128.02001953125
Taylor/vgg16/Fullayer,Params(M),0,138.3699951171875
Taylor/vgg16/Fullayer,Params(M),10,135.77999877929688
Taylor/vgg16/Fullayer,Params(M),20,133.4600067138672
Taylor/vgg16/Fullayer,Params(M),30,131.33999633789062
Taylor/vgg16/Fullayer,Params(M),40,129.50999450683594
Taylor/vgg16/Fullayer,Params(M),50,127.91999816894531
