run,tag,step,value
MobilenetV2-Gradient-Gate,ACC,0,94.5
MobilenetV2-Gradient-Gate,ACC,10,90.41000366210938
MobilenetV2-Gradient-Gate,ACC,20,89.1500015258789
MobilenetV2-Gradient-Gate,ACC,30,84.68000030517578
MobilenetV2-Gradient-Gate,ACC,40,75.76000213623047
MobilenetV2-Gradient-Gate,ACC,50,55.75
MobilenetV2-Gradient-Gate,ACC,60,26.520000457763672
MobilenetV2-Gradient-Gate,ACC,70,13.729999542236328
MobilenetV2-Gradient-Gate,ACC,80,10.329999923706055
MobilenetV2-Gradient-Gate,ACC,89,9.800000190734863
MobilenetV2-Gradient-Gate,ACC,99,10.0
MobilenetV2-Gradient-Gate,MACs(G),0,94.5999984741211
MobilenetV2-Gradient-Gate,MACs(G),10,87.7300033569336
MobilenetV2-Gradient-Gate,MACs(G),20,80.8499984741211
MobilenetV2-Gradient-Gate,MACs(G),30,73.87999725341797
MobilenetV2-Gradient-Gate,MACs(G),40,67.0
MobilenetV2-Gradient-Gate,MACs(G),50,60.130001068115234
MobilenetV2-Gradient-Gate,MACs(G),60,53.2599983215332
MobilenetV2-Gradient-Gate,MACs(G),70,46.380001068115234
MobilenetV2-Gradient-Gate,MACs(G),80,39.400001525878906
MobilenetV2-Gradient-Gate,MACs(G),89,32.52000045776367
MobilenetV2-Gradient-Gate,MACs(G),99,25.950000762939453
MobilenetV2-Gradient-Gate,Params(M),0,2.309999942779541
MobilenetV2-Gradient-Gate,Params(M),10,2.180000066757202
MobilenetV2-Gradient-Gate,Params(M),20,2.049999952316284
MobilenetV2-Gradient-Gate,Params(M),30,1.9199999570846558
MobilenetV2-Gradient-Gate,Params(M),40,1.7899999618530273
MobilenetV2-Gradient-Gate,Params(M),50,1.649999976158142
MobilenetV2-Gradient-Gate,Params(M),60,1.5199999809265137
MobilenetV2-Gradient-Gate,Params(M),70,1.3899999856948853
MobilenetV2-Gradient-Gate,Params(M),80,1.2599999904632568
MobilenetV2-Gradient-Gate,Params(M),89,1.1299999952316284
MobilenetV2-Gradient-Gate,Params(M),99,997.7999877929688
MobilenetV2-Gradient-No-Gate,ACC,0,93.93000030517578
MobilenetV2-Gradient-No-Gate,ACC,10,86.5999984741211
MobilenetV2-Gradient-No-Gate,ACC,20,79.2699966430664
MobilenetV2-Gradient-No-Gate,ACC,30,60.40999984741211
MobilenetV2-Gradient-No-Gate,ACC,40,45.369998931884766
MobilenetV2-Gradient-No-Gate,ACC,50,31.360000610351562
MobilenetV2-Gradient-No-Gate,ACC,60,10.8100004196167
MobilenetV2-Gradient-No-Gate,ACC,70,10.520000457763672
MobilenetV2-Gradient-No-Gate,ACC,80,9.880000114440918
MobilenetV2-Gradient-No-Gate,ACC,89,9.9399995803833
MobilenetV2-Gradient-No-Gate,ACC,99,10.0
MobilenetV2-Gradient-No-Gate,MACs(G),0,94.5999984741211
MobilenetV2-Gradient-No-Gate,MACs(G),10,87.7300033569336
MobilenetV2-Gradient-No-Gate,MACs(G),20,80.8499984741211
MobilenetV2-Gradient-No-Gate,MACs(G),30,73.87999725341797
MobilenetV2-Gradient-No-Gate,MACs(G),40,67.0
MobilenetV2-Gradient-No-Gate,MACs(G),50,60.130001068115234
MobilenetV2-Gradient-No-Gate,MACs(G),60,53.2599983215332
MobilenetV2-Gradient-No-Gate,MACs(G),70,46.380001068115234
MobilenetV2-Gradient-No-Gate,MACs(G),80,39.400001525878906
MobilenetV2-Gradient-No-Gate,MACs(G),89,32.52000045776367
MobilenetV2-Gradient-No-Gate,MACs(G),99,25.950000762939453
MobilenetV2-Gradient-No-Gate,Params(M),0,2.299999952316284
MobilenetV2-Gradient-No-Gate,Params(M),10,2.1700000762939453
MobilenetV2-Gradient-No-Gate,Params(M),20,2.0399999618530273
MobilenetV2-Gradient-No-Gate,Params(M),30,1.909999966621399
MobilenetV2-Gradient-No-Gate,Params(M),40,1.7799999713897705
MobilenetV2-Gradient-No-Gate,Params(M),50,1.6399999856948853
MobilenetV2-Gradient-No-Gate,Params(M),60,1.5099999904632568
MobilenetV2-Gradient-No-Gate,Params(M),70,1.3799999952316284
MobilenetV2-Gradient-No-Gate,Params(M),80,1.25
MobilenetV2-Gradient-No-Gate,Params(M),89,1.1200000047683716
MobilenetV2-Gradient-No-Gate,Params(M),99,994.469970703125
MobilenetV2-L1norm-gate,ACC,0,94.63999938964844
MobilenetV2-L1norm-gate,ACC,10,94.5199966430664
MobilenetV2-L1norm-gate,ACC,20,94.41000366210938
MobilenetV2-L1norm-gate,ACC,30,92.69999694824219
MobilenetV2-L1norm-gate,ACC,40,85.83000183105469
MobilenetV2-L1norm-gate,ACC,50,66.12999725341797
MobilenetV2-L1norm-gate,ACC,60,38.189998626708984
MobilenetV2-L1norm-gate,ACC,70,11.300000190734863
MobilenetV2-L1norm-gate,ACC,80,10.149999618530273
MobilenetV2-L1norm-gate,ACC,89,10.130000114440918
MobilenetV2-L1norm-gate,ACC,99,10.0
MobilenetV2-L1norm-gate,MACs(G),0,94.5999984741211
MobilenetV2-L1norm-gate,MACs(G),10,87.7300033569336
MobilenetV2-L1norm-gate,MACs(G),20,80.8499984741211
MobilenetV2-L1norm-gate,MACs(G),30,73.87999725341797
MobilenetV2-L1norm-gate,MACs(G),40,67.0
MobilenetV2-L1norm-gate,MACs(G),50,60.130001068115234
MobilenetV2-L1norm-gate,MACs(G),60,53.2599983215332
MobilenetV2-L1norm-gate,MACs(G),70,46.380001068115234
MobilenetV2-L1norm-gate,MACs(G),80,39.400001525878906
MobilenetV2-L1norm-gate,MACs(G),89,32.52000045776367
MobilenetV2-L1norm-gate,MACs(G),99,25.950000762939453
