run,tag,step,value
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,ACC,0,93.5999984741211
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,ACC,10,91.19000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,ACC,20,89.55999755859375
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,ACC,30,81.01000213623047
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,ACC,40,81.87000274658203
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,ACC,50,64.72000122070312
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,ACC,60,24.25
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,ACC,70,16.979999542236328
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,ACC,80,11.670000076293945
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,ACC,89,10.100000381469727
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,ACC,99,10.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,MACs(G),0,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,MACs(G),10,314.92999267578125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,MACs(G),20,314.9100036621094
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,MACs(G),30,314.8800048828125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,MACs(G),40,314.8500061035156
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,MACs(G),50,314.8299865722656
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,MACs(G),60,314.79998779296875
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,MACs(G),70,314.7699890136719
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,MACs(G),80,314.75
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,MACs(G),89,314.7200012207031
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,MACs(G),99,314.70001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,Params(M),0,15.25
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,Params(M),10,15.239999771118164
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,Params(M),20,15.229999542236328
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,Params(M),30,15.220000267028809
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,Params(M),40,15.210000038146973
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,Params(M),50,15.199999809265137
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,Params(M),60,15.1899995803833
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,Params(M),70,15.180000305175781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,Params(M),80,15.170000076293945
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,Params(M),89,15.149999618530273
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer1,Params(M),99,15.140000343322754
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,ACC,0,93.5199966430664
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,ACC,10,93.5199966430664
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,ACC,20,93.51000213623047
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,ACC,30,93.76000213623047
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,ACC,40,93.69000244140625
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,ACC,50,93.4800033569336
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,ACC,60,93.48999786376953
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,ACC,70,93.33000183105469
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,ACC,80,92.62000274658203
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,ACC,89,61.5099983215332
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,ACC,99,10.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,MACs(G),0,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,MACs(G),10,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,MACs(G),20,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,MACs(G),30,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,MACs(G),40,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,MACs(G),50,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,MACs(G),60,314.9599914550781
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,MACs(G),70,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,MACs(G),80,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,MACs(G),89,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,MACs(G),99,314.95001220703125
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),0,15.25
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),10,14.779999732971191
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),20,14.3100004196167
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),30,13.829999923706055
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),40,13.359999656677246
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),50,12.890000343322754
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),60,12.420000076293945
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),70,11.949999809265137
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),80,11.470000267028809
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),89,11.0
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer10,Params(M),99,10.539999961853027
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,0,93.52999877929688
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,10,93.62999725341797
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,20,93.5999984741211
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,30,93.41999816894531
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,40,93.66999816894531
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,50,93.52999877929688
No-k-mean-Layerwise/VGG-Gradient-Layerwise/layer11,ACC,60,93.58999633789062
